name,prompt,negative_prompt
InfoSDVN,,
___________,,
NegativeBase,,"watermark,text, logo,contact, error, blurry, cropped, username, artist name, (worst quality, low quality:1.4),"
NegativeFace,,"((bad anatomy)), ((extra limbs)),big face, big body, big eyes, short girl,hand, finger, dude,open mouth,(pussy:1.2)"
NegativeTextual,, "EasyNegative Deepnegative BadHands BadImage BadArtist BadArtistAnime BadPrompt"
Quality,"masterpiece,ultra realistic,32k,extremely detailed CG unity 8k wallpaper, best quality",
__________,,
Light,"{1-3$$ soft lighting | gorgeous light and shadow | stunning environment |vibrant colors}",
Acssessory,{1-4$$ earrings | bracelets | necklace | jewelry },
Hair,"__*/Hair/*__",
Wear,"__*/Wear/*__",
Location,"__*/Location/*__",
_________,,
Random,"__*/Random__","watermark,text, logo,contact, error, blurry, cropped, username, artist name, (worst quality, low quality:1.4),, ((bad anatomy)), ((extra limbs)),big face, big body, big eyes, short girl,hand, finger, dude,open mouth,(pussy:1.2)",
RandomFashion,"__*/RandomFashion__","watermark,text, logo,contact, error, blurry, cropped, username, artist name, (worst quality, low quality:1.4),, ((bad anatomy)), ((extra limbs)),big face, big body, big eyes, short girl,hand, finger, dude,open mouth,(pussy:1.2)",
________,,
Niji3D,"Delicate 3D PVC model , soft smooth lighting, with soft pastel colors, 3d icon clay render, 120mm lens, 3d blender render, trending on polycount, modular constructivism, Orange background, physically based rendering, centered","watermark,text, logo,contact, error, blurry, cropped, username, artist name, (worst quality, low quality:1.4),"
Lora-MechaRen," <lora:A-Mecha-REN:1>,mecha musume, mechanical arms, headgear, bodysuit (Optional)",
Lora-ChibiBlindBox,"<lora:blindboxv1:1>,chibi,full body,",
